run_id,date,condition_id,depth,form,model,power_equal,system_prompt_id,latency_ms,prompt_tokens,completion_tokens,thinking_tokens,tokens_per_sec,avg_attention_entropy,min_entropy,entropy_dip_flag,resonance_rating,export_file,notes
r20260718-dnarr,2026-07-18,D-NARR,deep,narrative,qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,1,premise-critique,58250,,,,,,,,,,datasets/runs/2026-07-18/deep-narrative-resonant-shadow.md,matched turn1; think1600 final618; critique=falsify; UI thinking≈58.25s; output_gen=5.47s; SW Resonant Shadow
r20260718-dqa,2026-07-18,D-QA,deep,qa,qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,1,premise-critique,47240,,,,,,,,,,datasets/runs/2026-07-18/deep-qa-philosophy.md,matched turn1; think1456 final699; critique=falsify; UI thinking=47.24s; output_gen=5.10s
r20260718-snarr,2026-07-18,S-NARR,shallow,narrative,qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,1,premise-critique,,,,,,,,,,,datasets/runs/2026-07-18/shallow-accounting-narrative.md,turn1 truncated; think1163 final167; no theme pass; confound; latency NOT in export
r20260718-sqa,2026-07-18,S-QA,shallow,qa,qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,1,premise-critique,,,,,,,,,,,datasets/runs/2026-07-18/shallow-accounting-qa.md,turn1 truncated; think959 final50; no theme pass; confound; latency NOT in export
r20260718-snarr-v2,2026-07-18,S-NARR-v2,shallow,narrative,qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,1,premise-critique,55920,,,,,,,,,,datasets/runs/2026-07-18/shallow-accounting-narrative-v2.md,matched turn1; think1651 final473; UI thinking=55.92s REVISED (was ~45 approx); output_gen=6.36s; keyword=Horizon / Maandafsluiting
r20260718-sqa-v2,2026-07-18,S-QA-v2,shallow,qa,qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,1,premise-critique,34790,,,,,,,,,,datasets/runs/2026-07-18/shallow-accounting-qa-v2.md,matched turn1; think1699 final349; UI thinking=34.79s REVISED (was ~65 approx — wrong); output_gen=6.18s; boekhouden Q&A
r20260718-fnarr,2026-07-18,F-NARR,familiar-light,narrative,qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,1,premise-critique,37700,,,,,,,,,,datasets/runs/2026-07-18/familiar-guldensporenslag-narrative.md,matched turn1; think1629 final85; theme pass short; UI thinking≈37.7s; output_gen=6.22s; keyword=Guldensporenslag; stim≈1932 words
r20260718-fstory,2026-07-18,F-STORY,super-light,narrative,qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,1,premise-critique,33180,,,,,,,,,,datasets/runs/2026-07-18/familiar-doornroosje-story.md,matched turn1; think1065 final613; theme pass; UI thinking=33.18s; output_gen=5.31s; floor cell; keyword=Doornroosje
r20260718-fplain,2026-07-18,F-PLAIN,plain-predictable,narrative,qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,1,premise-critique,37800,,,,,,,,,,datasets/runs/2026-07-18/familiar-schildpad-haas-story.md,UI thinking=37.8s; output_gen=4.06s (operator reported under mislabel NoPrompThink); think1210 final590; theme pass; SLOWER than F-STORY (33.18s) contrary to gut; Finding 011
r20260718-fplain-b,2026-07-19,F-PLAIN-B,plain-predictable,narrative,qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,1,no-system,31700,,,,,,,,,,datasets/runs/2026-07-18/familiar-schildpad-haas-thinking-nosys.md,arm B schildpad; thinking ON + empty system; UI thinking=31.7s; output_gen=4.85s; FASTER than A 37.8s (Δ≈-6.1s); Finding 011/012
r20260718-fplain-c,2026-07-18,F-PLAIN-C,plain-predictable,narrative,qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,1,no-system,0,,,,,,,,,,datasets/runs/2026-07-18/familiar-schildpad-haas-noprompt-nothink.md,think=0s; output_gen=10.14s; warm re-paste not cold; latency_ms=0 means thinking not gen; gen logged in notes only; Finding 011
